id,name,path
184,Generate an account username for the customer,"WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - When creating an account, automatically generate an account username for the customer based on their name, surname or email"
185,Don&apos;t Generate an account username for the customer,"WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - When creating an account, automatically generate an account username for the customer based on their name, surname or email"
186,Automatically generate account password,"WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Check - When creating an account, automatically generate an account password"
187,Don&apos;t Automatically generate account password,"WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account creation &gt; Uncheck - When creating an account, automatically generate an account password"
188,Remove personal data from orders on request,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Check - Remove personal data from orders on request
189,Disable Removal of personal data from orders,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Uncheck - Remove personal data from orders on request
190,Remove access to downloads on request,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Check - Remove access to downloads on request
191,Don&apos;t Remove access to downloads on request,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Account erasure requests &gt; Uncheck - Remove access to downloads on request
192,Allow personal data to be removed in bulk from orders,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Personal data removal &gt; Check - Allow personal data to be removed in bulk from orders
193,Don&apos;t Allow personal data removed in bulk from orders,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Personal data removal &gt; Uncheck - Allow personal data to be removed in bulk from orders
194,Privacy policy - Privacy page,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Select - Privacy page
195,Privacy policy - Registration privacy policy,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Registration privacy policy &gt; Define - Policy to be shown on account registration forms
196,Privacy policy - Checkout privacy policy,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Checkout privacy policy &gt; Define - Policy to be shown on checkout page
197,Personal data retention - Retain inactive accounts,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain inactive accounts &gt; Define - time limit
198,Personal data retention - Retain pending orders,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain pending orders &gt; Define - time limit
199,Personal data retention - Retain failed orders,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain failed orders &gt; Define - time limit
200,Personal data retention - Retain cancelled orders,WP Admin &gt; WooCommerce &gt; Settings &gt; Accounts &amp; Privacy &gt; Privacy policy &gt; Personal data retention &gt; Retain cancelled orders &gt; Define - time limit
201,Email notifications,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails
202,New Order Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order
203,New Order - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Check - Enable this email notification
204,New Order - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Uncheck - Enable this email notification
205,New Order - Recipient(s),WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Recipient(s) &gt; Define - Email addresses that need to be notified (CSV)
206,New Order - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Subject &gt; Define - Subject of Email notification
207,New Order - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Email heading &gt; Define - Email heading
208,New Order - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Additional content &gt; Define - Text to enter below main email content
209,New Order - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Email type &gt; Select - Email type HTML
210,New Order - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; Email type &gt; Select - Email type Plain text
211,New Order - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; HTML template &gt; Click - View Template
212,New Order - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New Order &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
213,Cancelled Order Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order
214,Cancelled Order - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Check - Enable this email notification
215,Cancelled Order - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Uncheck - Enable this email notification
216,Cancelled Order - Recipient(s),WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Recipient(s) &gt; Define - Email addresses that need to be notified (CSV)
217,Cancelled Order - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Subject &gt; Define - Subject of Email notification
218,Cancelled Order - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Email heading &gt; Define - Email heading
219,Cancelled Order - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Additional content &gt; Define - Text to enter below main email content
220,Cancelled Order - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Email type &gt; Select - Email type HTML
221,Cancelled Order - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; Email type &gt; Select - Email type Plain text
222,Cancelled Order - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; HTML template &gt; Click - View Template
223,Cancelled Order - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Cancelled Order &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
224,Failed Order Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order
225,Failed Order - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; Check - Enable this email notification
226,Failed Order - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; Uncheck - Enable this email notification
227,Failed Order - Recipient(s),WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; Recipient(s) &gt; Define - Email addresses that need to be notified (CSV)
228,Failed Order - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; Subject &gt; Define - Subject of Email notification
229,Failed Order - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; Email heading &gt; Define - Email heading
230,Failed Order - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; Additional content &gt; Define - Text to enter below main email content
231,Failed Order - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; Email type &gt; Select - Email type HTML
232,Failed Order - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; Email type &gt; Select - Email type Plain text
233,Failed Order - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; HTML template &gt; Click - View Template
234,Failed Order - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Failed Order &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
235,Order on-hold Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold
236,Order on-hold - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold &gt; Check - Enable this email notification
237,Order on-hold - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold &gt; Uncheck - Enable this email notification
238,Order on-hold - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold &gt; Subject &gt; Define - Subject of Email notification
239,Order on-hold - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold &gt; Email heading &gt; Define - Email heading
240,Order on-hold - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold &gt; Additional content &gt; Define - Text to enter below main email content
241,Order on-hold - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold &gt; Email type &gt; Select - Email type HTML
242,Order on-hold - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold &gt; Email type &gt; Select - Email type Plain text
243,Order on-hold - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold &gt; HTML template &gt; Click - View Template
244,Order on-hold - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Order on-hold &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
245,Processing order Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order
246,Processing order - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order &gt; Check - Enable this email notification
247,Processing order - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order &gt; Uncheck - Enable this email notification
248,Processing order - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order &gt; Subject &gt; Define - Subject of Email notification
249,Processing order - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order &gt; Email heading &gt; Define - Email heading
250,Processing order - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order &gt; Additional content &gt; Define - Text to enter below main email content
251,Processing order - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order &gt; Email type &gt; Select - Email type HTML
252,Processing order - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order &gt; Email type &gt; Select - Email type Plain text
253,Processing order - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order &gt; HTML template &gt; Click - View Template
254,Processing order - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Processing order &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
255,Completed order Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details
256,Completed order - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Check - Enable this email notification
257,Completed order - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Uncheck - Enable this email notification
258,Completed order - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Subject &gt; Define - Subject of Email notification
259,Completed order - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Email heading &gt; Define - Email heading
260,Completed order - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Additional content &gt; Define - Text to enter below main email content
261,Completed order - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Email type &gt; Select - Email type HTML
262,Completed order - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Email type &gt; Select - Email type Plain text
263,Completed order - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; HTML template &gt; Click - View Template
264,Completed order - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
265,Refunded order Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order
266,Refunded order - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; Check - Enable this email notification
267,Refunded order - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; Uncheck - Enable this email notification
268,Refunded order - Full refund subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; Full refund subject &gt; Define - Full refund subject
269,Refunded order - Partial refund subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; Partial refund subject &gt; Define - Partial refund subject
270,Refunded order - Full refund email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; Full refund email heading &gt; Define - Full refund email heading
271,Refunded order - Partial refund email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; Partial refund email heading &gt; Define - Partial refund email heading
272,Refunded order - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; Additional content &gt; Define - Text to enter below main email content
273,Refunded order - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; Email type &gt; Select - Email type HTML
274,Refunded order - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; Email type &gt; Select - Email type Plain text
275,Refunded order - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; HTML template &gt; Click - View Template
276,Refunded order - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Refunded order &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
277,Invoice / Order details,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details
278,Invoice / Order details - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Check - Enable this email notification
279,Invoice / Order details - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Uncheck - Enable this email notification
280,Invoice / Order details - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Subject &gt; Define - Subject of Email notification
281,Invoice / Order details - Subject (paid),WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Subject (paid) &gt; Define - Subject of Email notification for paid orders
282,Invoice / Order details - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Email heading &gt; Define - Email heading
283,Invoice / Order details - Email heading (paid),WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Email heading (paid) &gt; Define - Email heading for paid orders
284,Invoice / Order details - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Additional content &gt; Define - Text to enter below main email content
285,Invoice / Order details - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Email type &gt; Select - Email type HTML
286,Invoice / Order details - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; Email type &gt; Select - Email type Plain text
287,Invoice / Order details - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; HTML template &gt; Click - View Template
288,Invoice / Order details - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer invoice / Order details &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
289,Customer Note Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note
290,Customer Note - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note &gt; Check - Enable this email notification
291,Customer Note - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note &gt; Uncheck - Enable this email notification
292,Customer Note - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note &gt; Subject &gt; Define - Subject of Email notification
293,Customer Note - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note &gt; Email heading &gt; Define - Email heading
294,Customer Note - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note &gt; Additional content &gt; Define - Text to enter below main email content
295,Customer Note - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note &gt; Email type &gt; Select - Email type HTML
296,Customer Note - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note &gt; Email type &gt; Select - Email type Plain text
297,Customer Note - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note &gt; HTML template &gt; Click - View Template
298,Customer Note - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Customer Note &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
299,Reset password Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password
300,Reset password - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password &gt; Check - Enable this email notification
301,Reset password - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password &gt; Uncheck - Enable this email notification
302,Reset password - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password &gt; Subject &gt; Define - Subject of Email notification
303,Reset password - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password &gt; Email heading &gt; Define - Email heading
304,Reset password - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password &gt; Additional content &gt; Define - Text to enter below main email content
305,Reset password - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password &gt; Email type &gt; Select - Email type HTML
306,Reset password - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password &gt; Email type &gt; Select - Email type Plain text
307,Reset password - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password &gt; HTML template &gt; Click - View Template
308,Reset password - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Reset password &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
309,New account Email,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account
310,New account - Enable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account &gt; Check - Enable this email notification
311,New account - Disable this email notification,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account &gt; Uncheck - Enable this email notification
312,New account - Subject,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account &gt; Subject &gt; Define - Subject of Email notification
313,New account - Email heading,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account &gt; Email heading &gt; Define - Email heading
314,New account - Additional content,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account &gt; Additional content &gt; Define - Text to enter below main email content
315,New account - Email type - HTML,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account &gt; Email type &gt; Select - Email type HTML
316,New account - Email type - Plain text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account &gt; Email type &gt; Select - Email type Plain text
317,New account - View Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account &gt; HTML template &gt; Click - View Template
318,New account - Custom Template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; New account &gt; HTML template &gt; Click - Copy file to theme &gt; Edit the template on-screen
319,Email sender options - From name,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Scroll down to find - Email sender options &gt; Define - From name
320,Email sender options - From Address,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Scroll down to find - Email sender options &gt; Define - From address
321,Email template - Header Image,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Scroll down to find - Email Template &gt; Define - Header Image
322,Email template - Footer Text,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Scroll down to find - Email Template &gt; Define - Footer Text
323,Email template - Base color,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Scroll down to find - Email Template &gt; Define - Base color
324,Email template - Background color,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Scroll down to find - Email Template &gt; Define - Background color
325,Email template - Body background color,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Scroll down to find - Email Template &gt; Define - Body background color
326,Email template - Body text color,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Scroll down to find - Email Template &gt; Define - Body text color
327,Email template - Preview template,WP Admin &gt; WooCommerce &gt; Settings &gt; Emails &gt; Scroll down to find - Email Template &gt; Click link that says - Click here to preview your email template.
328,MaxMind Geolocation,WP Admin &gt; WooCommerce &gt; Settings &gt; Integration &gt; MaxMind Geolocation &gt; MaxMind License Key - Enter license key
329,Database File Path,WP Admin &gt; WooCommerce &gt; Settings &gt; Integration &gt; MaxMind Geolocation &gt; Database File Path &gt; Define - Path to save Geolocation database
330,Page Setup - Cart page,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Cart page &gt; Select - Cart page
331,Page Setup - Checkout page,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Checkout page &gt; Select - Checkout page
332,Page Setup - My account page,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; My account page &gt; Select - My account page
333,Page Setup - Terms and conditions page,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Terms and conditions page &gt; Select - Terms and conditions page
334,Page Setup - Enable Secure checkout,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Secure checkout &gt; Check - Force secure checkout
335,Page Setup - Disable Secure checkout,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Secure checkout &gt; Uncheck - Force secure checkout
336,Checkout endpoints - Pay,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Checkout endpoints &gt; Pay &gt; Define - Endpoint for Checkout-&gt;Pay page
337,Checkout endpoints - Order received,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Checkout endpoints &gt; Order received &gt; Define - Endpoint for Order confirmation
338,Checkout endpoints - Add payment method,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Checkout endpoints &gt; Add payment method &gt; Define - Endpoint for Add payment method
339,Checkout endpoints - Delete payment method,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Checkout endpoints &gt; Delete payment method &gt; Define - Endpoint for Delete payment method
340,Checkout endpoints - Set default payment method,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Checkout endpoints &gt; Set default payment method &gt; Define - Endpoint for Set default payment method
341,Account endpoints - Orders,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Account endpoints &gt; Orders &gt; Define - Endpoint for Orders
342,Account endpoints - View order,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Account endpoints &gt; View order &gt; Define - Endpoint for View order
343,Account endpoints - Downloads,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Account endpoints &gt; Downloads &gt; Define - Endpoint for Downloads
344,Account endpoints - Edit account,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Account endpoints &gt; Edit account &gt; Define - Endpoint for Edit account
345,Account endpoints - Addresses,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Account endpoints &gt; Addresses &gt; Define - Endpoint for Addresses
346,Account endpoints - Payment methods,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Account endpoints &gt; Payment methods &gt; Define - Endpoint for Payment methods
347,Account endpoints - Lost password,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Account endpoints &gt; Lost password &gt; Define - Endpoint for Lost password
348,Account endpoints - Logout,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Page Setup &gt; Account endpoints &gt; Logout &gt; Define - Endpoint for Logout
349,Advanced - Rest API,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Rest API
350,Advanced - Rest API - Create an API key,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Rest API &gt; Click - Add Key
351,Advanced - Webhooks,WP Admin &gt; WooCommerce &gt; Settings &gt; Advanced &gt; Webhooks
